year,city_temp,global_temp
1796,26.53,8.27
1797,27.48,8.51
1798,26.20,8.67
1799,26.84,8.51
1800,26.88,8.48
1801,26.05,8.59
1802,27.44,8.58
1803,27.22,8.50
1804,27.65,8.84
1805,27.02,8.56
1806,26.89,8.43
1807,26.15,8.28
1813,26.25,7.74
1814,25.65,7.59
1815,25.80,7.24
1816,25.38,6.94
1817,25.61,6.98
1818,25.83,7.83
1819,25.78,7.37
1820,25.88,7.62
1821,26.45,8.09
1822,26.43,8.19
1823,26.65,7.72
1824,27.10,8.55
1825,26.72,8.39
1826,26.89,8.36
1827,26.73,8.81
1828,26.63,8.17
1829,26.47,7.94
1830,26.45,8.52
1831,26.41,7.64
1832,26.63,7.45
1833,26.50,8.01
1834,26.56,8.15
1835,25.80,7.39
1836,26.19,7.70
1837,26.24,7.38
1838,26.33,7.51
1839,26.34,7.63
1840,26.44,7.80
1841,26.12,7.69
1842,26.27,8.02
1843,26.01,8.17
1844,26.08,7.65
1845,26.39,7.85
1846,26.82,8.55
1847,26.31,8.09
1848,26.32,7.98
1849,26.26,7.98
1850,26.47,7.90
1851,26.45,8.18
1852,26.40,8.10
1853,26.70,8.04
1854,26.79,8.21
1855,26.81,8.11
1856,26.24,8.00
1857,25.82,7.76
1858,26.60,8.10
1859,26.60,8.25
1860,26.41,7.96
1861,26.26,7.85
1862,24.38,7.56
1865,26.96,8.18
1866,26.97,8.29
1867,26.91,8.44
1868,26.80,8.25
1869,26.78,8.43
1870,26.45,8.20
1871,26.59,8.12
1872,26.54,8.19
1873,26.60,8.35
1874,26.57,8.43
1875,26.60,7.86
1876,26.90,8.08
1877,27.22,8.54
1878,27.34,8.83
1879,26.29,8.17
1880,26.71,8.12
1881,26.61,8.27
1882,26.52,8.13
1883,26.28,7.98
1884,26.18,7.77
1885,26.53,7.92
1886,26.51,7.95
1887,26.28,7.91
1888,26.81,8.09
1889,26.89,8.32
1890,26.69,7.97
1891,27.00,8.02
1892,26.79,8.07
1893,25.90,8.06
1894,26.75,8.16
1895,26.63,8.15
1896,27.44,8.21
1897,27.60,8.29
1898,26.89,8.18
1899,27.19,8.40
1900,27.65,8.50
1901,27.01,8.54
1902,27.38,8.30
1903,26.73,8.22
1904,26.68,8.09
1905,26.92,8.23
1906,27.10,8.38
1907,26.67,7.95
1908,26.65,8.19
1909,26.77,8.18
1910,26.61,8.22
1911,27.03,8.18
1912,27.15,8.17
1913,27.03,8.30
1914,26.75,8.59
1915,27.01,8.59
1916,26.66,8.23
1917,25.93,8.02
1918,26.76,8.13
1919,27.05,8.38
1920,27.24,8.36
1921,26.94,8.57
1922,26.85,8.41
1923,26.93,8.42
1924,27.13,8.51
1925,26.56,8.53
1926,27.13,8.73
1927,27.25,8.52
1928,27.19,8.63
1929,27.20,8.24
1930,27.03,8.63
1931,27.11,8.72
1932,26.66,8.71
1933,26.36,8.34
1934,26.72,8.63
1935,26.98,8.52
1936,27.09,8.55
1937,26.85,8.70
1938,26.68,8.86
1939,26.85,8.76
1940,26.72,8.76
1941,27.74,8.77
1942,27.19,8.73
1943,26.53,8.76
1944,26.85,8.85
1945,26.70,8.58
1946,26.93,8.68
1947,27.07,8.80
1948,27.26,8.75
1949,26.86,8.59
1950,26.88,8.37
1951,27.10,8.63
1952,27.28,8.64
1953,27.44,8.87
1954,27.03,8.56
1955,26.81,8.63
1956,26.79,8.28
1957,27.24,8.73
1958,27.55,8.77
1959,27.38,8.73
1960,27.31,8.58
1961,27.04,8.80
1962,26.73,8.75
1963,26.81,8.86
1964,27.20,8.41
1965,27.21,8.53
1966,27.46,8.60
1967,27.01,8.70
1968,26.90,8.52
1969,27.34,8.60
1970,26.84,8.70
1971,26.71,8.60
1972,27.68,8.50
1973,27.63,8.95
1974,27.01,8.47
1975,26.72,8.74
1976,27.12,8.35
1977,27.32,8.85
1978,27.01,8.69
1979,27.67,8.73
1980,27.70,8.98
1981,27.10,9.17
1982,27.43,8.64
1983,27.35,9.03
1984,27.38,8.69
1985,27.51,8.66
1986,27.71,8.83
1987,27.54,8.99
1988,27.44,9.20
1989,27.06,8.92
1990,26.91,9.23
1991,27.35,9.18
1992,27.24,8.84
1993,27.24,8.87
1994,27.07,9.04
1995,27.24,9.35
1996,27.37,9.04
1997,27.47,9.20
1998,27.87,9.52
1999,27.24,9.29
2000,27.23,9.20
2001,27.56,9.41
2002,27.67,9.57
2003,27.84,9.53
2004,27.23,9.32
2005,27.49,9.70
2006,27.47,9.53
2007,27.55,9.73
2008,27.45,9.43
2009,28.03,9.51
2010,27.69,9.70
2011,27.41,9.52
2012,28.02,9.51
2013,28.85,9.61
